open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1590969600000,6.9388,6.9421,6.92,6.92,3082.9,1590969659999,21361.963055,86,938.55,6507.873994,0
1590969660000,6.92,6.92,6.8938,6.9104,3303.71,1590969719999,22815.308118,86,1009.34,6971.200813,0
1590969720000,6.9048,6.9115,6.9025,6.9043,671.65,1590969779999,4637.462994,24,163.06,1125.808118,0
1590969780000,6.9041,6.9041,6.8917,6.8917,897.08,1590969839999,6190.463363,24,85.3,587.99101,0
1590969840000,6.8925,6.9009,6.89,6.9004,1233.43,1590969899999,8504.458563,37,938.9,6474.681344,0
1590969900000,6.902,6.9118,6.902,6.911,483.68,1590969959999,3341.819103,27,302.24,2088.340792,0
1590969960000,6.9144,6.9366,6.9144,6.9366,2244.65,1590970019999,15535.249712,61,1551.98,10740.856811,0
1590970020000,6.937,6.9805,6.9341,6.9805,5182.94,1590970079999,36064.621502,146,2896.19,20148.36447,0
1590970080000,6.9791,7.01,6.978,6.9912,12384.8,1590970139999,86640.564106,239,4976.55,34816.972189,0
1590970140000,6.9918,6.994,6.9767,6.9805,5260.28,1590970199999,36737.691261,89,1018.69,7113.772334,0
1590970200000,6.9805,6.9958,6.9805,6.9908,2844.09,1590970259999,19878.682991,67,1901.03,13284.721166,0
1590970260000,6.9914,6.9943,6.9905,6.9905,837.48,1590970319999,5856.571418,19,678.52,4745.104079,0
1590970320000,6.9947,7.0045,6.9946,7.0045,2177.66,1590970379999,15245.796931,72,1687.45,11814.827964,0
1590970380000,7.0033,7.0224,7.0033,7.0166,4437.64,1590970439999,31136.075114,111,2714.02,19043.741854,0
1590970440000,7.0182,7.0182,6.983,6.9863,5938.95,1590970499999,41553.902114,124,1064.99,7450.791416,0
1590970500000,6.9863,6.9981,6.9861,6.9981,702.37,1590970559999,4910.191536,26,245.74,1719.054051,0
1590970560000,7.0,7.0095,7.0,7.0055,1967.48,1590970619999,13781.446699,42,896.81,6281.501703,0
1590970620000,7.0067,7.0084,6.9968,7.0019,3956.54,1590970679999,27707.906982,79,1691.13,11845.350642,0
1590970680000,7.0041,7.0065,6.9994,7.0036,2002.51,1590970739999,14024.225998,58,1187.29,8315.331547,0
1590970740000,7.0071,7.0132,7.003,7.003,1703.49,1590970799999,11938.178965,67,793.59,5561.673412,0
1590970800000,7.0052,7.0099,7.0009,7.001,1887.82,1590970859999,13226.280423,76,573.29,4017.419115,0
1590970860000,7.0016,7.0055,7.0004,7.0046,5126.18,1590970919999,35898.569131,72,4461.6,31244.467992,0
1590970920000,7.0095,7.0152,7.0068,7.0135,680.57,1590970979999,4772.366542,35,139.76,980.155366,0
1590970980000,7.0141,7.0162,7.01,7.0147,1281.07,1590971039999,8984.696889,40,62.82,440.419509,0
1590971040000,7.0151,7.0154,6.9999,7.0076,1488.48,1590971099999,10429.164807,64,335.36,2349.258457,0
1590971100000,7.0076,7.0084,6.9998,7.0053,817.27,1590971159999,5724.981971,26,77.98,546.211489,0
1590971160000,7.0049,7.0049,7.0,7.0047,300.89,1590971219999,2107.266641,13,79.02,553.482906,0
1590971220000,7.0047,7.0235,7.0047,7.0204,4347.56,1590971279999,30498.235031,97,2486.67,17444.321363,0
1590971280000,7.0208,7.0242,7.018,7.0185,953.04,1590971339999,6691.276229,30,211.75,1486.928735,0
1590971340000,7.0164,7.0249,7.0163,7.0249,761.69,1590971399999,5347.770402,27,671.3,4713.3651,0
1590971400000,7.0239,7.0308,7.0238,7.0282,1678.76,1590971459999,11798.379376,65,520.29,3656.347231,0
1590971460000,7.0276,7.0276,7.0183,7.023,606.95,1590971519999,4261.269174,35,334.83,2350.616456,0
1590971520000,7.0192,7.0208,7.0046,7.0046,1442.05,1590971579999,10112.183383,44,259.04,1815.170771,0
1590971580000,7.005,7.0077,7.0005,7.0006,903.26,1590971639999,6326.345794,32,363.03,2542.597255,0
1590971640000,7.0,7.0,6.981,6.9861,2969.47,1590971699999,20743.409569,71,210.83,1472.972081,0
1590971700000,6.9842,6.9862,6.9772,6.9785,1421.19,1590971759999,9923.082951,43,282.48,1971.847271,0
1590971760000,6.979,6.9949,6.9787,6.9932,1538.99,1590971819999,10751.304743,38,1014.24,7086.484052,0
1590971820000,6.9967,6.9967,6.9844,6.9844,1148.23,1590971879999,8028.21172,28,9.41,65.795774,0
1590971880000,6.9788,6.9788,6.9637,6.9668,2255.88,1590971939999,15725.376623,58,1139.26,7943.284803,0
1590971940000,6.9653,6.9904,6.9635,6.987,4536.01,1590971999999,31667.931795,92,2385.84,16652.238826,0
1590972000000,6.9884,6.9919,6.9784,6.9784,606.75,1590972059999,4237.597856,20,415.02,2897.854987,0
1590972060000,6.9821,6.9824,6.9775,6.9778,979.15,1590972119999,6835.077727,24,792.45,5532.186946,0
1590972120000,6.9796,6.9852,6.9796,6.985,668.62,1590972179999,4668.911125,26,565.35,3947.629443,0
1590972180000,6.984,6.986,6.9826,6.983,368.54,1590972239999,2573.713931,15,6.48,45.267395,0
1590972240000,6.983,6.983,6.9638,6.9638,2552.61,1590972299999,17805.004111,80,792.01,5522.031573,0
1590972300000,6.9703,6.9717,6.963,6.9642,1059.15,1590972359999,7378.097675,35,680.06,4737.406163,0
1590972360000,6.9637,6.9715,6.9574,6.9715,2688.74,1590972419999,18729.077862,67,1890.6,13172.512664,0
1590972420000,6.9714,6.9791,6.969,6.9788,2690.2,1590972479999,18759.414255,64,2082.71,14521.467353,0
1590972480000,6.9806,6.996,6.9795,6.9958,1577.26,1590972539999,11025.469724,34,822.46,5748.981251,0
1590972540000,6.9959,6.9963,6.9902,6.9916,874.68,1590972599999,6116.258476,35,188.52,1317.894946,0
1590972600000,6.9933,7.0021,6.9933,6.997,2891.92,1590972659999,20239.660209,56,805.96,5640.29439,0
1590972660000,6.9973,6.9981,6.9921,6.9934,563.47,1590972719999,3941.932087,29,128.19,896.862388,0
1590972720000,6.9934,6.9934,6.9869,6.9901,1537.7,1590972779999,10749.728928,46,682.41,4770.773556,0
1590972780000,6.9909,6.9909,6.9833,6.9864,1622.35,1590972839999,11335.31882,46,903.81,6315.248871,0
1590972840000,6.984,6.9894,6.9831,6.9871,1187.9,1590972899999,8299.706255,40,179.99,1257.431256,0
1590972900000,6.9896,6.993,6.9882,6.991,814.81,1590972959999,5696.243694,36,720.8,5039.071427,0
1590972960000,6.9929,6.9929,6.9878,6.9924,858.65,1590973019999,6003.053877,30,400.16,2797.89689,0
1590973020000,6.9923,7.0108,6.9923,7.0108,1501.61,1590973079999,10511.819128,43,1356.51,9495.74344,0
1590973080000,7.0104,7.0108,7.009,7.0102,288.83,1590973139999,2024.597594,16,218.24,1529.740527,0
1590973140000,7.0104,7.0183,7.0104,7.0134,1558.31,1590973199999,10932.08998,31,682.65,4788.363442,0
1590973200000,7.0132,7.0175,7.0132,7.0164,306.49,1590973259999,2150.16377,13,132.07,926.698906,0
1590973260000,7.0178,7.0178,7.0,7.0,3025.59,1590973319999,21204.961186,34,0.0,0.0,0
1590973320000,6.9971,7.0067,6.9971,7.0047,914.36,1590973379999,6401.91108,29,796.28,5575.584426,0
1590973380000,7.007,7.007,7.0002,7.0025,522.41,1590973439999,3657.425756,22,38.84,271.97083,0
1590973440000,7.0,7.0043,6.9994,7.0037,114.15,1590973499999,799.263834,6,59.62,417.56265,0
1590973500000,7.0043,7.0077,7.0043,7.0058,1475.48,1590973559999,10337.353162,16,329.76,2310.678022,0
